FishID,GroupID,Rank,LC_Adj,TL,Init_TL,Diff_TL,Perc_change_TL,R2_Shrink,R1_Shrink,Shrinking,Size_R2R1_Initial,Max_Temp_LC,Max_Temp_LC_INIT
LY103_2,LY103,2,3,49.5,49.17,0.33,0.67114094,0,,0,0.700726806,31.895,32.583
LY357_1,LY357,1,4,74.33,73.83,0.5,0.677231478,,0,0,0.826222403,30.37,31.57
B007_1,B007,1,2,73.83,73.33,0.5,0.681849175,,0,0,0.738715396,32.599,30.28
B79_1,B79,1,2,73.5,73,0.5,0.684931507,,0,0,0.828767123,32.45,31.684
LY274B14_1,LY274B14,1,2,72.33,71.83,0.5,0.696087986,,0,0,0.754141724,32.634,32.266
B005_1,B005,1,5,71.5,71,0.5,0.704225352,,0,0,0.786338028,28.545,30.18
LY479_1,LY479,1,3,71,70.5,0.5,0.709219858,,0,0,0.808510638,31.47,32.86
LY90_1,LY90,1,5,69.83,69.33,0.5,0.721188519,,0,0,0.800519256,28.018,30.283
B40_1,B40,1,3,69.5,69,0.5,0.724637681,,0,0,0.811594203,31.49,32.652
LY90_1,LY90,1,3,68.67,68.17,0.5,0.733460466,,0,0,0.794631069,31.66,32.737
LY79_1,LY79,1,5,68.5,68,0.5,0.735294118,,0,0,0.757352941,28.61925,30.457
B33_1,B33,1,5,68.17,67.67,0.5,0.738879858,,0,0,0.785724841,27.3475,30.18
B004_1,B004,1,5,67.67,67.17,0.5,0.744379932,,0,0,0.858567813,28.18875,30.41
B011_1,B011,1,3,67.33,66.83,0.5,0.748166991,,0,0,0.765674098,31.487,32.712
SY598_1,SY598,1,4,66,65.5,0.5,0.763358779,,0,0,0.801526718,30.427,31.28
B21_1,B21,1,1,63.5,63,0.5,0.793650794,,0,0,0.714285714,32.62,32.005
B80_1,B80,1,1,63.5,63,0.5,0.793650794,,0,0,0.785714286,32.353,31.95525
LY252_2,LY252,2,5,62.83,62.33,0.5,0.802181935,0,,0,,27.489,30.16
B006_1,B006,1,5,62.67,62.17,0.5,0.804246421,,0,0,0.726556217,28.128,30.28
LY249_2,LY249,2,2,62.5,62,0.5,0.806451613,0,,0,0.953846154,32.78,32.649
LY252_2,LY252,2,3,62.17,61.67,0.5,0.810766986,0,,0,,31.243,32.403
