GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B83,3,3.132,30.61,31.615,1.417,31.927,32.887
B83,4,1.59,29.848,31.1,3.132,30.61,31.615
B83,5,NA,NA,NA,1.59,29.848,31.1
LY103,1,1.121,31.646,32.148,NA,NA,NA
LY103,2,1.04,31.98,32.583,1.121,31.646,32.148
LY103,3,1.48,30.84,31.895,1.04,31.98,32.583
LY103,4,0.54,29.98,30.2,1.48,30.84,31.895
LY103,5,NA,NA,NA,0.54,29.98,30.2
LY103,1,1.121,31.646,32.148,NA,NA,NA
LY103,2,1.04,31.98,32.583,1.121,31.646,32.148
LY103,3,1.48,30.84,31.895,1.04,31.98,32.583
LY103,4,0.54,29.98,30.2,1.48,30.84,31.895
LY103,5,NA,NA,NA,0.54,29.98,30.2
LY106,1,1.162,31.717,32.188,NA,NA,NA
LY106,2,1.347,31.831,32.687,1.162,31.717,32.188
LY106,3,1.387,30.883,31.947,1.347,31.831,32.687
LY106,4,0.567,29.998,30.28,1.387,30.883,31.947
LY106,5,NA,NA,NA,0.567,29.998,30.28
LY106,1,1.162,31.717,32.188,NA,NA,NA
LY106,2,1.347,31.831,32.687,1.162,31.717,32.188
LY106,3,1.387,30.883,31.947,1.347,31.831,32.687
LY106,4,0.567,29.998,30.28,1.387,30.883,31.947
LY106,5,NA,NA,NA,0.567,29.998,30.28
LY249,1,1.936,31.732,32.649,NA,NA,NA
LY249,2,1.164,32.207,32.78,1.936,31.732,32.649
LY249,3,1.277,31.041,31.933,1.164,32.207,32.78
LY249,4,0.625,29.997,30.37,1.277,31.041,31.933
LY249,5,NA,NA,NA,0.625,29.997,30.37
LY249,1,1.936,31.732,32.649,NA,NA,NA
LY249,2,1.164,32.207,32.78,1.936,31.732,32.649
LY249,3,1.277,31.041,31.933,1.164,32.207,32.78
LY249,4,0.625,29.997,30.37,1.277,31.041,31.933
LY249,5,NA,NA,NA,0.625,29.997,30.37
LY252,1,0.243,31.298,31.42,NA,NA,NA
LY252,2,0.847,32.102,32.403,0.243,31.298,31.42
LY252,3,0.743,30.734,31.243,0.847,32.102,32.403
LY252,4,0.52,29.851,30.16,0.743,30.734,31.243
